a,এক
aback,বিস্মিত
abandon,ত্যাগ করা
abandoned,পরিত্যক্ত
abandonment,বর্জন
abate,প্রকোপ হ্রাস করা
abashed,হতভম্ব
abbreviation,সংক্ষেপ করণ
abed,শয্যাগত
abdicate,অধিকার ত্যাগ করা
aberration,আপাত বিচ্যুতি
abide,মেনে চলা
able,সক্ষম
abnormal,অস্বাভাবিক
aboard,জাহাজের মধ্যে
abort,অস্বাভাবিক সমাপ্তি
above,উপরে
abrupt,আকস্মিক
absent,অনুপস্থিত
abstract,বিমূর্ত
abuse,অপব্যবহার
accent,ধ্বনির তীব্রতা
accept,গ্রহণ করা
acceptable,গ্রহনযোগ্য
accommodate,সমন্বয়বিধান করা
accommodation,বাসস্থান
accompany,সহগমন করা
accomplish,সুসম্পন্ন করা
accountability,জবাবদিহিতা
accumulate,জড়ো করা
accuse,অভিযোগ করা
acidity,অম্লতা
acquire,অর্জন করা
act,অভিনয় করা
activate,সক্রিয়
adhere,অনুগত থাকা
admire,তারিফ করা
adult,প্রাপ্তবয়স্ক
adulterate,অপমিশ্রণ করা
affect,প্রভাবিত করা
affirmation,দৃঢ়োক্তি
akin,সদৃশ
alarming,উদ্বেগ জনক
alleged,অভিযোগে বর্ণিত
allocate,বরাদ্দ করা
alternative,বিকল্প
ambitious,উচ্চাভিলাষী
animate,প্রাণসঞ্চার
annoy,বিরক্ত করা
applicable,প্রযোজ্য
ascribe,আরোপ করা
attempt,প্রচেষ্টা
awkward,বেঢপ
back,পিছনে
background,পটভূমি
bacterium,ব্যাকটেরিয়া
baffling,হতাশজনক
ban,নিষিদ্ধ করা
bank,তীর
banker,মহাজন
bard,চারণ
bar,নিষিদ্ধ করা
based,ভিত্তি করে
basic,প্রাথমিক
bass,গলার নীচু খাদের সুর
bastard,অবৈধ সন্তান
bastion,বুরুজ
battle,যুদ্ধ
battlefield,যুদ্ধক্ষেত্র
battlefront,যুদ্ধক্ষেত্র
battleground,যুদ্ধক্ষেত্র
beat,পরাজিত করা
because,কারণ
bed,বিছানা
belated,বিলম্বিত
benevolence,পরোপকারী
besmirch,বদনাম করা
betterment,উন্নতিসাধন
bet,বাজি ধরা
bibulous,শোষক
biochemical,জৈব-রাসায়নিক
bitch,কুক্কুরী
biography,জীবনী
blacksmith,লোহার
blank,ফাঁকা
bleeding,রক্তক্ষরণ
blessing,আশির্বাদ
blind,অন্ধ
bloody,রক্তাক্ত
boarding,আবাসিক
bond,বন্ধন
bone,হাড়
boost,গতি বৃদ্ধি
borrow,ধার করা
boundary,সীমানা
boycott,বর্জন
brave,সাহসী
broken,ভাঙা
build,নির্মাণ
burden,বোঝা
burner,চুল্লি
busy,ব্যস্ত
button,বাটন
buy,কেনা
cabbage,বাঁধাকপি
cable,কেবল
calculate,গণনা
cache,ক্যাশ
calculated,গণনাকৃত
calendar,বর্ষপঞ্জি
calibration,পরিমাপ নির্দিষ্ট-করণ
call,ডাক দেওয়া
calm,শান্ত
camel,ঊট
campaign,সংগঠিত প্রচারকার্য
campus,ক্যাম্পাস
canal,খাল
cancel,বাতিল
cancellation,বাতিল
cancer,ক্যান্সার
canvas,চিত্রপট
canyon,গিরিখাত
capability,সক্ষমতা
capable,সক্ষম
capacitor,ধারক
capita,মাথাপিছু
capital,রাজধানী
capitalism,পুঁজিবাদ
captain,অধিনায়ক
cargo,মাল
carnage,হত্যাকান্ড
career,জীবিকা
caretaker,তত্ত্বাবধায়ক
carry,বহন করা
cascade,জলপ্রপাত
cast,নিক্ষেপ করা
castle,দুর্গ
casual,অসতর্ক
catastrophe,চরম বিপর্যয়
catch,ধরা
cease,বিরত থাকা
celebration,উদযাপন
central,কেন্দ্রীয়
centre,কেন্দ্র
chain,শৃঙ্খল
challenge,প্রতিদ্বন্দ্বিতা
change,পরিবর্তন করা
character,অক্ষর
characteristic,বৈশিষ্ট্য
cheap,সস্তা
cheat,প্রতারণা করা
check,পরীক্ষা করা
circle,বৃত্ত
citizen,নাগরিক
dad,বাবা
daily,প্রতিদিন
dally,অলস সময় কাটানো
dam,বাঁধ
damage,ক্ষতি
damaged,ক্ষতিগ্রস্ত
danger,বিপদ
dangerous,বিপজ্জনক
dark,অন্ধকার
data,তথ্য
database,ডেটাবেস
daughter,কন্যা
dawn,ভোর
day,দিন
daylight,দিনের আলো
daylong,দিনব্যাপী
dead,মৃত
deadlock,অচলবস্থা
deadly,মারাত্নক
deaf,বধির
deal,চুক্তি
debate,বিতর্ক
debit,নগদ
debt,ঋণ
debug,ত্রুটিমুক্ত করা
decide,নির্ধারণ করা
declare,ঘোষণা করা
decline,অস্বীকার
deduction,অনুমান
deem,গণ্য করা
deep,গভীর
defeat,পরাজিত করা
defect,খুঁত
defined,উল্লেখকৃত
definite,নিশ্চিত
demand,দাবী করা
democracy,গণতন্ত্র
departure,বহির্গমন
depend,নির্ভর কর
depression,হতাশা
depth,গভীরতা
different,আলাদা
differently,আলাদাভাবে
difficult,কঠিন
dull,নিরানন্দময়
dumb,বোবা
duty,কর্তব্য
dwarf,বামন
dwell,বাস করা
dweller,বাসিন্দা
dye,রং করা
dynamic,গতিশীল
each,প্রত্যেক
ear,কান
earlier,গোড়ার দিকে
earliest,যথাশীঘ্র
early,আগের
earn,আয় করা
earring,কানের দুল
earthbound,পৃথিবী অভিমুখী
earthly,সাংসারিক
earthquake,ভূকম্পন
easy,সহজ
eat,খাওয়া
eatable,খাদ্য
eccentricity,উত্‍কেন্দ্রতা
eclectic,সঙ্কীর্ণতামুক্ত
eclipse,গ্রহণ
ecliptic,ক্রান্তিবৃত্ত
economic,অর্থনৈতিক
economics,অর্থনীতি
